"uid","forename","surname","name_religion","date_birth","date_death","age_death","national_identity","conv","note","namequal","pbirth","pdeath"
 "AC113","Cathrin","Smith ","Delphine of St Joseph","1677","1721 27 Feb","44",NULL,"N",NULL,NULL,"944",NULL
 "AC114","Anne","Somerset ","Anne of the Angels","1613","1650/1 19 Sep","38",NULL,"N",NULL,NULL,"111","475"
 "AC115","Catherine Marie","Sonniers","Mary of the Blessed Sacrament",NULL,"1710 24 Jun","61",NULL,"N",NULL,NULL,"475","475"
 "AC116","Mary","Spencer ","Mary of St Francis",NULL,"1655 or 1656",NULL,NULL,"N",NULL,NULL,"832","475"
 "AC117","Penelope Charlotte","Sulyard ","Frances Xaveria of the Holy Ghost",NULL,"1719 17 Aug  ","34",NULL,"N",NULL,NULL,"623","475"
 "AC118","Agnes","Thornbugh ","Agnes Xavier of St Joseph",NULL,"1750","56",NULL,"N",NULL,NULL,"440","475"
 "AC119","Catherine","Tilen, Van","Mary Teresa of Jesus","1631 c","1696 6 Apr","65",NULL,"N",NULL,NULL,"475",NULL
 "AC120","Mary","Trentham","Mary of St Albert",NULL,"1629 20 Mar","22",NULL,"N",NULL,NULL,"1489","475"
 "AC121","Frances","Turner ","Francesca Teresa of the Passion",NULL,"1693 21 March","64",NULL,"N",NULL,NULL,"631","475"
 "AC122","Mary","Vaughan","Mary of St Joseph",NULL,"1709 3 Mar ","77",NULL,"N",NULL,NULL,"112","589"
 "AC123","Constantia","Vokemans ","Constantia of the Holy Ghost",NULL,"1693 4 Apr","70",NULL,"N",NULL,NULL,"475","475"
 "AC124","Mary Margaret","Wake ","Mary Margaret of the Angels","1617","1678 21 Jun","63/61",NULL,"N",NULL,NULL,"475","475"
 "AC125","Catherine","Wakeman","Teresa of Jesus",NULL,"1698 25 Apr","62",NULL,"N",NULL,NULL,"920","475"
 "AC126","Chrysogona Marie","Wakeman ","Mary Teresa of Jesus","1596","1652 15 Jun","54",NULL,"N",NULL,NULL,"1489",NULL
 "AC127","Dorothy","Wakeman ","Anastasia of Jesus","1619","1669 c.","40",NULL,"N",NULL,NULL,"920",NULL
 "AC128","Mary","Wakeman ","Mary of St John the Evangelist",NULL,"1721 8 Mar","71",NULL,"N",NULL,NULL,"268",NULL
 "AC129","Ursula","Wakeman ","Ursula of All Saints",NULL,"1650 1 Jan",NULL,NULL,"N",NULL,"no bapt","920",NULL
 "AC130","Teresa","Wakeman ","Teresa of the Holy Ghost",NULL,"1702 9 Nov","61",NULL,"N",NULL,NULL,"920",NULL
 "AC131","Teresa","Wakeman ","Teresa Mary of the Holy Ghost",NULL,"1794 4 Oct",NULL,NULL,"N",NULL,NULL,NULL,"1589"
 "AC132","Frances","Ward ","Teresa of Jesus","1590","1649 11 Apr","59",NULL,"N","Spent six years (1613-1619c) as sub-prioress in Cracow.",NULL,NULL,NULL
 "AC133","Mary","White","Marie of the Holy Ghost","1604","1640 4 Apr",NULL,NULL,"N",NULL,NULL,"353","475"
 "AC135","Julia","Wigmore ","Josepha of Jesus Maria",NULL,"1697 18 Jun","43",NULL,"N",NULL,NULL,"801","475"
 "AC136","Mary","Wigmore ","Mary of the Holy Ghost",NULL,"1692/1 14 Sep","45",NULL,"N",NULL,NULL,"801","475"
 "AC137","Catherine","Windoe ","Catherine of the Blessed Sacrament","1608","1666 27 Sep","59",NULL,"N",NULL,NULL,"8","589"
 "AC138","Susanne","Winter","Hieronima of St Michael","1620","1655 27 Sep","34",NULL,"N","Born Brecons/Herefordshire?",NULL,NULL,"589"
 "AC139","Ann","Woolmer  ","Anna Mary of St Xaverius","1662","1740 21 Nov","78 app",NULL,"N",NULL,NULL,"623","475"
 "AC140","Anne","Worsley ","Anne of the Ascension","1588","1644 23 Dec","55",NULL,"N",NULL,NULL,NULL,"475"
 "AC141"," Elizabeth","Worsley","Teresa of Jesus Maria","1601","1642 17 Nov ","50",NULL,"N",NULL,NULL,"110","316"
 "AC142","Agnes","Wright ","Mary Xaveria of the Angels",NULL,"1814 14 Feb",NULL,NULL,"N",NULL,NULL,"129","315"
 "AC143","Anne","Wright","Anne of St Augustine","1610","1647 16 Apr","37",NULL,"N",NULL,NULL,"353","475"
 "AC144","Margaret ","Wright","Aloysia of St Bernard",NULL,"1694 16 Jun","97",NULL,"N",NULL,NULL,"353","895"
 "BD001","Marguerite","Allgood","Mary Louisa",NULL,"1821 1 Jan","74",NULL,"N",NULL,NULL,"1425","1341"
 "BD002","Jane","Atmore","Jane Agnes",NULL,"1731 27 Apr","84",NULL,"N",NULL,NULL,"431","935"
 "BD003","Laetitia","Barker","Laetitia Maria",NULL,"1748 17 Mar","87",NULL,"N",NULL,"no bapt",NULL,"935"
 "BD004","Susanna","Barker","Susanna",NULL,"1722 1 Apr","78",NULL,"N",NULL,"no bapt",NULL,"935"
 "BD005","Ann","Barstow","Ann Mary Magdalen","1769","1832",NULL,NULL,"N",NULL,"no bapt","16","1341"
 "BD006","Jane","Berchmans","Jeanne Anne",NULL,"1669 6 Aug",NULL,NULL,"N",NULL,NULL,"1435","935"
 "BD007","Margaret","Boucher","Mary Clare",NULL,"1752 24 Feb","52",NULL,"N",NULL,NULL,"754","935"
 "BD008","Elizabeth","Boyle","Barbara",NULL,"1717 21 Feb","93","Irish","Y",NULL,NULL,"1324","935"
 "BD009","Elizabeth","Brent","Elizabeth",NULL,"1752 13 Jun",NULL,NULL,"N",NULL,"no bapt",NULL,"935"
 "BD010","Elizabeth","Brooke","Ann Dominick",NULL,"1816 8 Mar ","87","American",NULL,NULL,NULL,"1267","1341"
 "BD011","Henrietta","Brooke","Mary Rose","1733","1757 20 Jan",NULL,"American","N",NULL,NULL,"1267","935"
 "BD012","Mary","Brooke","Mary Teresa",NULL,"1789 5 Oct",NULL,"American","N",NULL,"no bapt","1267","935"
 "BD013","Julia","Brown","Julia",NULL,"1747",NULL,"Irish","N","In 1717 she left Galway for Dublin, where she became prioress but left in 1629 due to poor health.","no bapt","245","805"
 "BD014","Olimpia","Bulstrode","Francis",NULL,"1733 30 Jan","46",NULL,"N",NULL,NULL,NULL,"935"
 "BD015","Anne","Busby","Anne",NULL,"1722 11 Dec","76",NULL,"N",NULL,"no bapt","129","935"
 "BD016","Elizabeth","Busby","Teresa",NULL,"1710 22 Nov","70",NULL,"N",NULL,"no bapt","129","935"
 "BD017","Teresa","Busby","Mary Teresa",NULL,"1711 18 Aug","27",NULL,"N",NULL,NULL,"129","935"
 "BD018","Alexia","Caitsen","Alexia",NULL,NULL,NULL,NULL,"N",NULL,"no bapt","129",NULL
 "BD019","Mary","Calvert","Mary Anna",NULL,"1800 Oct 17",NULL,NULL,NULL,NULL,"no bapt","754","1341"
 "BD020","Dorothy","Canning","Dorothy",NULL,"1712 15 Sep","60",NULL,"N",NULL,"no bapt","939","935"
 "BD021","Mary Anne","Chilton","Mary Anna",NULL,"1741 20 Jan","74",NULL,"N",NULL,"no bapt",NULL,"935"
 "BD022","Anne","Coleman","Anne Ursula",NULL,"1733 7 Jan","66",NULL,"N",NULL,"no bapt",NULL,"935"
 "BD023","Margaret","Compton","Margaret Joseph",NULL,"1768 23 Jul",NULL,NULL,"N",NULL,"no bapt",NULL,"935"
 "BD024","Mary","Constable","Mary Joseph",NULL,"1780 7 Oct",NULL,NULL,"N",NULL,"no bapt","129","935"
 "BD025","Mary","Crofts","Mary",NULL,"1720 16 May","72",NULL,"N",NULL,"no bapt","754","935"
 "BD026","Anne Marie","Danton","Catherine Therese","1753","1824",NULL,NULL,"N",NULL,NULL,"754","1341"
 "BD027","Tecla","Darcy","Tecla",NULL,"1722 27 Apr","70",NULL,"N",NULL,"no bapt",NULL,"935"
 "BD028","Margaret","Ellerker","Margaret Xaveria",NULL,"1737 22 Feb","67",NULL,"N",NULL,"no bapt","129","935"
 "BD029","Mary","Fuller","Mary Barbara",NULL,"1785 30 May",NULL,NULL,"N",NULL,"no bapt","754","935"
 "BD030","Anna","Gallaway","Sophia",NULL,"1694 27 Nov","36",NULL,"N",NULL,NULL,NULL,"935"
 "BD031","Mary","Groves","Mary Agatha",NULL,"1749 10 Apr",NULL,NULL,"N",NULL,"no bapt","1138","935"
 "BD032","Francis","Halford","Mary Benedict","1757","1792 28 Aug",NULL,NULL,"N",NULL,NULL,"754","935"
 "BD033","Isabella","Hansbie","Isabella Winefrid",NULL,"1734 27 May","72",NULL,"N",NULL,"no bapt","129","935"
 "BD034","Lewesa","Hertogh, de","Louisa",NULL,NULL,NULL,"Flemish","N",NULL,NULL,NULL,NULL
 "BD035","Albertina","Horis","Albertina",NULL,NULL,NULL,"Flemish","N",NULL,"no bapt","935",NULL
 "BD036","Antonia","Howard","Catherine",NULL,"1661 8 Oct","16",NULL,"N",NULL,NULL,"944","1413"
 "BD037","Catherine","Howard","Catherine Mary Joseph","1683","1753 2 Feb","70",NULL,"N",NULL,NULL,"531","935"
 "BD038","Elizabeth","Howard","Elizabeth Dominica",NULL,"1761 17 Dec",NULL,NULL,"N",NULL,NULL,"531","935"
 "BD039","Margaret","Howard","Margaret Catherine of St Dominick",NULL,"1683 28 Jun","47",NULL,"N",NULL,NULL,"944","935"
 "BD040","Mary","Howard","Mary Rosa",NULL,"1747 18 Apr","70",NULL,"N",NULL,NULL,"531","935"
 "BD041","Mary","Howard","Maria Delphina",NULL,"1714 14 Jan","56",NULL,"N",NULL,NULL,NULL,"935"
 "BD042","Elizabeth","Hunt","Mary Joseph","1764","1794 10 Aug","27",NULL,"N",NULL,NULL,"87","935"
 "BD043","Anna","Hurlocke","Anna Margarita",NULL,"1680 9 Jan",NULL,NULL,"Y",NULL,"no bapt",NULL,"935"
 "BD044","Catherine","Hyde","Catherine Winifrid",NULL,"1752 14 Aug","54",NULL,"N",NULL,"no bapt","1478","935"
 "BD045","Jane","Jackson","Mary Magdalen",NULL,"1788 12 Mar",NULL,NULL,"N",NULL,NULL,"1425","935"
 "BD046","Elizabeth","Kitchin","Elizabeth Jerome",NULL,"1824",NULL,NULL,"N",NULL,"no bapt","129","1341"
 "BD047","Sarah","Kitchin","Sarah Alexia",NULL,"1789 6 Mar",NULL,NULL,"N",NULL,"no bapt","129","935"
 "BD048","Jane","Leadbitter","Mary Teresa","1768",NULL,NULL,NULL,"N",NULL,NULL,"448",NULL
 "BD049","Catherine","Mildmay","Catherine",NULL,"1714 9 Aug","72",NULL,"N",NULL,"no bapt","1366","935"
