"uid1","idx","uid2"
 "GP270","3","GP012"
 "GP270","3","GP045"
 "GP270","3","GP047"
 "GP270","3","GP048"
 "BD011","1","BD012"
 "LA085","1","GP103"
 "BD036","1","BD039"
 "GP138","2","GP135"
 "GP261","8","GP148"
 "BD037","3","BA107"
 "BD038","3","BA107"
 "BD040","3","BA107"
 "BD041","1","LA241"
 "BA107","1","GB104"
 "GP170","1","GP173"
 "GP223","1","GP224"
 "LC008","1","LC009"
 "LC056","2","LC037"
 "LC031","1","LC032"
 "LC005","1","LC006"
 "LC005","3","LC018"
 "LC005","3","LC019"
 "LC018","1","LC019"
 "LC018","3","LC006"
 "LC006","3","LC019"
 "LC056","3","AC083"
 "AC083","7","LC037"
 "LC069","1","LC070"
 "LC079","1","LC080"
 "AC112","1","GP254"
 "GP255","3","GP008"
 "GP255","3","GP009"
 "GP255","3","GP010"
 "GP255","3","GP012"
 "CB188","1","CB189"
 "BB054","1","BB053"
 "GB066","2","GB067"
 "GB064","7","GB066"
 "GB065","7","GB066"
 "BB166","3","BB086"
 "BB189","3","BB086"
 "GB241","3","BB086"
 "GB241","1","BB189"
 "GB241","3","BB166"
 "LS082","1","GB078"
 "GP133","2","LS082"
 "LC035","1","LC036"
 "LC035","1","AC051"
 "LC035","1","AC052"
 "GP133","7","LC035"
 "LS082","2","LC035"
 "GB078","2","LC035"
 "GP129","2","GB081"
 "GP129","7","LS083"
 "GP130","7","GB081"
 "GP131","2","GB081"
 "GP131","7","LS083"
 "GP132","7","GB081"
 "GP134","2","GB081"
 "GP134","7","LS083"
 "GP133","2","GB078"
 "GP133","7","LC036"
 "GP133","7","AC051"
 "GP133","7","AC052"
 "BA003","1","BA004"
 "BA045","1","GB040"
 "BA046","2","GB041"
 "BA046","1","AC024"
 "GB040","1","BA046"
 "GB040","7","BA047"
 "BA149","3","BA009"
 "BA012","1","BA013"
 "LC006","2","LC028"
 "GB035","3","GB040"
 "GB035","3","BA045"
 "GB035","3","BA046"
 "GB040","2","GB041"
 "GB040","7","LS035"
 "GB040","7","LS034"
 "BA045","2","GB041"
 "BA045","7","LS035"
 "BA045","7","LS034"
 "BA046","7","LS034"
 "BA046","7","LS035"
 "GB041","2","BA047"
 "BD004","0","BD003"
 "BD023","9","BD007"
 "BA050","1","BA049"
 "BA050","10","BA048"
 "BA048","10","BA049"
 "BD040","8","BD044"
 "BD037","8","BD044"
 "BD038","8","BD044"
 "BA052","1","BA053"
 "LA050","1","LA051"
 "LA050","1","LA053"
 "LA050","1","LA052"
 "LA052","1","LA051"
 "LA052","1","LA053"
 "LA051","1","LA053"
 "BA059","2","BA058"
 "BD057","2","BD054"
 "LA279","1","LA280"
 "LA279","1","LA281"
 "LA279","1","LA285"
 "LA280","1","LA281"
 "LA280","1","LA285"
 "LA281","1","LA285"
 "BB165","2","LA236"
 "BA045","3","LA235"
 "GB207","2","LS029"
 "BA045","3","LS029"
 "BB165","2","GB207"
 "BB165","7","GB035"
 "GB035","1","LS029"
 "GB207","2","GB035"
 "LA236","2","GB035"
 "GB035","3","LA005"
 "GB035","2","LA237"
 "GB035","1","LA235"
 "GB207","2","LA005"
 "BA045","1","AC024"
 "GB040","3","LS029"
 "BB165","7","LA005"
 "GB040","1","AC024"
 "AC024","2","GB041"
 "AC024","7","LS035"
 "AC024","7","LS034"
 "AC024","3","GB035"
 "AC024","3","LS029"
 "AC024","3","LA235"
 "AC044","1","AC045"
 "AC051","1","AC052"
 "AC051","1","LC036"
 "LS082","2","AC051"
 "GB133","2","AC051"
 "GB078","2","AC051"
 "AC052","1","LC036"
 "LS082","2","AC052"
 "GB133","2","AC052"
 "GB078","2","AC052"
 "AC053","2","AC054"
 "AC065","1","AC067"
 "AC065","1","AC069"
 "AC067","1","AC069"
 "AC071","3","BF064"
 "AC071","3","BF061"
 "AC071","3","BF058"
 "BF064","8","BF059"
 "AC096","1","AC095"
 "AC126","2","AC130"
 "AC130","1","AC127"
 "AC125","1","AC127"
 "AC140","1","AC141"
 "AC144","1","AC143"
 "BB041","2","BB044"
 "BB041","2","BB042"
 "BB043","0","BB050"
 "LS077","1","LS076"
 "LS077","1","BB077"
 "LS077","1","BB076"
 "LS076","1","BB077"
 "LS076","1","BB076"
 "BB082","1","BB080"
 "LC041","1","LC042"
 "GP147","3","LC045"
 "LC050","1","LC049"
 "LA146","1","BB104"
 "AC073","1","GB110"
 "BB113","0","BB114"
 "BB114","3","GB197"
 "BB113","2","BB152"
 "BB113","2","GB197"
 "LS016","2","LS246"
 "AC041","2","LC084"
 "BB146","3","BB199"
 "BB155","1","BB156"
 "LA255","1","LA254"
 "LA255","1","BB174"
 "LA255","1","BB173"
 "LA254","1","BB173"
 "LA254","1","BB174"
 "BF070","1","BF068"
 "LC061","3","BF069"
 "BB182","3","LA196"
 "CB188","2","BF241"
 "BA211","1","BA212"
 "BA211","1","GB245"
 "BA211","1","LS238"
 "BA212","1","GB245"
 "BA212","1","LS238"
 "BF007","1","BF008"
 "BF007","1","BF011"
 "BF007","1","BF010"
 "LA055","1","LA054"
 "BA062","1","BA063"
 "BA071","2","BA070"
 "BA074","1","BA073"
 "BA094","0","BA095"
 "BA134","1","BA135"
 "BA111","1","BA112"
 "BA111","2","BA113"
 "BA111","2","BA114"
 "BA113","2","BA112"
 "BA114","2","BA112"
 "BA113","1","BA114"
 "BA112","2","BA113"
 "BA112","2","BA114"
 "LS118","1","BA111"
 "LS118","1","BA112"
 "LS118","2","BA113"
 "LS118","2","BA114"
 "BA137","1","BA136"
 "PA002","3","PA052"
 "LA005","3","LA268"
 "BA153","7","BA085"
 "GB207","2","GB062"
 "GP240","2","BA164"
 "GP241","2","BA164"
 "BA182","1","BA185"
 "BA182","1","BA183"
 "BA182","1","BA186"
 "BA185","1","BA186"
 "BA185","1","BA183"
 "BA185","1","BA184"
 "BA186","1","BA184"
 "BA186","1","BA183"
 "GP301","1","BB201"
 "BF279","1","GP299"
 "BF279","1","GP300"
 "BA193","1","BA192"
 "BA027","3","BA190"
 "LA002","2","LA313"
 "LA002","2","LA318"
 "LA003","2","LA313"
 "LA003","2","LA318"
 "LA031","1","LA032"
 "BA134","2","BB117"
 "BA135","2","BB121"
 "BA134","2","BB121"
 "BA135","2","BB117"
 "LA260","1","LA261"
 "LA273","1","LA274"
 "LA288","1","BF250"
 "LA072","1","LA073"
 "LA089","1","LA090"
 "LA091","7","GB066"
 "LA092","2","GB064"
 "GB065","1","LA091"
 "GB137","3","GB066"
 "GB065","7","GB137"
 "GB064","7","GB137"
 "LA229","3","GP050"
 "BB135","7","GB074"
 "BB135","7","GB075"
 "LA097","2","GB075"
 "LA097","2","GB074"
 "BB079","2","BF095"
 "BB065","1","BB066"
 "GP136","3","BB066"
 "GP136","3","BB065"
 "GP137","3","BB065"
 "GP137","3","BB066"
 "GP139","3","BB065"
 "GP139","3","BB066"
 "GP140","3","BB065"
 "GP140","3","BB066"
 "LA036","2","GP037"
 "LA036","2","GP039"
 "LA036","7","GP041"
 "LA015","1","LA014"
 "LC027","7","LA089"
 "LC028","7","LA089"
 "LC027","7","LA090"
 "LC028","7","LA090"
 "LA103","1","LA104"
 "LA288","3","LC037"
 "LA288","3","LA107"
 "LA106","2","LA288"
 "LA105","2","GP139"
 "LA105","2","LC037"
 "LA105","2","LA107"
 "LA105","2","LA288"
 "LA105","2","BF250"
 "LA106","3","LA108"
 "LA106","2","LC037"
 "LA106","2","GP139"
 "LA106","2","BF250"
 "LA107","3","LC037"
 "LA107","3","BF250"
 "LA107","3","LA122"
 "LA106","2","LA107"
 "LC037","3","BF250"
 "LS051","4","LS165"
 "LA108","3","LA105"
 "LA085","2","LA079"
 "GP103","2","LA079"
 "BF111","1","LC038"
 "LA256","7","BF234"
 "LA085","7","LA074"
 "GP103","7","LA074"
 "LA122","3","GP139"
 "LA122","3","GP136"
